國文,數學,英文
80,58,89
97,81,52
80,78,61
96,74,58
75,53,50
56,50,66
95,83,77
72,50,61
52,53,69
89,91,97
76,88,78
96,51,87
92,73,75
65,77,62
74,70,78
78,94,61
73,51,73
72,93,88
62,85,98
81,60,93
72,83,79
82,92,82
74,62,84
69,86,91
60,81,96
81,63,64
65,100,96
72,65,80
96,74,69
57,86,55
85,51,87
68,83,90
60,87,88
88,87,90
97,63,90
95,86,82
53,71,96
66,55,75
88,63,76
66,92,70
53,53,90
87,60,86
59,96,74
59,67,53
73,93,93
96,70,90
59,100,93
97,91,92
83,94,66
95,76,87
